case_id,order_id,payment_id,state,exception_type,captured_inr,expected_net_inr,observed_net_inr,difference_inr,settlement_id,settlement_date,invariants_failed,secondary_findings,investigator,hypothesis,verdict,verification_score,decision_reason,suggested_action
pay_02489632,ord_02483FE6,pay_02489632,AUTO_RESOLVED,EXCEPTION_UNEXPLAINED_SHORTFALL,24671.00,24088.76,12451.11,11637.65,setl_0248B795,2026-06-09,I3_net_matches_shadow_ledger,,gemini-2.5-flash,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,"Hypothesis 'unlinked_partial_refund' verified independently: 7 of 7 evidence checks passed, and the shadow ledger balances once the evidence is applied.",No action; evidence-backed classification closed automatically.
pay_0250325D,ord_02501F95,pay_0250325D,MATCHED,,4915.00,4799.01,4799.01,,setl_0250A65A,2026-06-03,,,,,,,,
pay_0255B483,ord_02559FC5,pay_0255B483,MATCHED,,15353.00,14990.67,14990.67,,setl_025580F5,2026-06-30,,,,,,,,
pay_02563FB9,ord_0256A12F,pay_02563FB9,MATCHED,,9296.00,9076.61,9076.61,,setl_0256C2E5,2026-06-30,,,,,,,,
pay_0259B565,ord_02596B2B,pay_0259B565,MATCHED,,39149.00,21021.73,21021.73,,setl_025955FC,2026-06-29,,,,,,,,
pay_0261235B,ord_026146CD,pay_0261235B,MATCHED,,7483.00,7306.40,7306.40,,setl_02617E3A,2026-06-20,,,,,,,,
pay_02654AD4,ord_02659BD0,pay_02654AD4,MATCHED,,2413.00,2356.05,2356.05,,setl_02651846,2026-06-20,,,,,,,,
pay_02711BFF,ord_0271EC7D,pay_02711BFF,MATCHED,,3698.00,3610.73,3610.73,,setl_02713F71,2026-06-17,,,,,,,,
pay_0272E34C,ord_0272FB55,pay_0272E34C,AUTO_RESOLVED,EXCEPTION_DELAYED_SETTLEMENT,60126.00,58707.03,58707.03,0.00,setl_0272417F,2026-07-08,I5_settlement_within_window,,,,,,All amounts reconcile exactly; the only discrepancy is timing against the expected settlement window.,No action; classified and closed by the deterministic engine.
pay_0279F905,ord_0279DC3C,pay_0279F905,AUTO_RESOLVED,EXCEPTION_UNEXPLAINED_SHORTFALL,3711.00,3623.42,2347.77,1275.65,setl_027975BE,2026-06-22,I3_net_matches_shadow_ledger,,gemini-2.5-flash,unlinked_partial_refund,VERIFIED,7 of 7 evidence checks passed,"Hypothesis 'unlinked_partial_refund' verified independently: 7 of 7 evidence checks passed, and the shadow ledger balances once the evidence is applied.",No action; evidence-backed classification closed automatically.
pay_028850A6,ord_0288E65E,pay_028850A6,MATCHED,,26334.00,9530.42,9530.42,,setl_028828E8,2026-06-26,,,,,,,,
pay_02924F53,ord_0292E1FD,pay_02924F53,MATCHED,,10625.00,10374.25,10374.25,,setl_02929736,2026-06-23,,,,,,,,
pay_02957CC6,ord_0295404B,pay_02957CC6,MATCHED,,27173.00,26531.72,26531.72,,setl_029527BB,2026-06-17,,,,,,,,
pay_030158E2,ord_0301C975,pay_030158E2,MATCHED,,40910.00,28202.02,28202.02,,setl_0301DAFF,2026-06-28,,,,,,,,
pay_0312514F,ord_0312BC38,pay_0312514F,MATCHED,,2330.00,2275.01,2275.01,,setl_03129C5B,2026-06-16,,,,,,,,
pay_031516E0,ord_03157011,pay_031516E0,AUTO_RESOLVED,EXCEPTION_DUPLICATE_RECORD,1585.00,1547.59,1547.59,-1585.00,setl_0315D1C0,2026-06-23,,,,,,,"Duplicate ingestion proven by identifier and content match; the duplicate is suppressed, not paid.",No action; classified and closed by the deterministic engine.
